,Метка часу,Где вы учитесь?,В каком вы классе?,Какие предметы вы планируете сдавать?,На какой балл по экзу ты реально рассчитываешь?,Когда ты впервые задумался о том чтобы пойти на курсы/взять репета?,Когда ты по итогу записался на курсы / взял репета?,По каким предметам ты взял репета?
174,18.01.2026 22:33:42,Брестский областной лицей имени П. М. Машерова,11.0,"Беларусский, Биология, Химия",80-90,Первая половина 10го класса,Первая половина 10го класса,"химия, биология"
175,18.01.2026 22:34:19,Жупранская СШ,11.0,"Русский, Биология, Химия",80-90,Первая половина 10го класса,Первая половина 10го класса,Химия 
176,18.01.2026 22:34:27,Лицей машерова,11.0,"Беларусский, Биология, Химия",80-90,Первая половина 11го класса,Первая половина 11го класса,"Химия, биология"
177,18.01.2026 22:34:41,10 гимназия города Гродно,11.0,"Русский, Биология, Химия",70-80,Первая половина 10го класса,Вторая половина 10го класса,"биология, химия, русский язык "
178,18.01.2026 22:35:21,Лицей БГУ ,11.0,"Биология, Химия",90+,Вторая половина 10го класса,Первая половина 11го класса,Химия биология
179,18.01.2026 22:35:48,гимназия,11.0,"Русский, Биология, Химия",80-90,Первая половина 11го класса,Первая половина 11го класса,Химия 
180,18.01.2026 22:39:22,Средняя школа номер 31,11.0,"Русский, Биология, Химия",90+,Первая половина 10го класса,Вторая половина 10го класса,"Биология, русский язык "
181,18.01.2026 22:39:24,Гргму,11.0,"Русский, Биология, Химия",80-90,Первая половина 10го класса,Первая половина 10го класса,"Руский, химия, биология"
182,18.01.2026 22:39:25,Гргму,11.0,"Русский, Биология, Химия",80-90,Первая половина 11го класса,Первая половина 11го класса,Биология 
183,18.01.2026 22:39:42,ГрГМУ,11.0,"Русский, Биология, Химия",80-90,Вторая половина 10го класса,Вторая половина 11го класса,биология русский язык
184,18.01.2026 22:39:49,ГрГМУ,11.0,"Русский, Биология, Химия",80-90,Первая половина 10го класса,Первая половина 10го класса,"химия, биология"
185,18.01.2026 22:41:41,Брестский областной лицей имени Петра Мироновича Машерова ,11.0,"Биология, Химия",80-90,Первая половина 10го класса,Первая половина 11го класса,"химия, русский "
186,18.01.2026 22:42:09,ГрГМУ,11.0,"Беларусский, Биология, Химия",80-90,Вторая половина 10го класса,Вторая половина 10го класса,"химия, биология"
187,18.01.2026 22:43:03,СШ №1 г. Бреста ,11.0,"Биология, Химия",80-90,Первая половина 10го класса,Первая половина 10го класса,"Биология, химия, русский язык "
188,18.01.2026 22:44:04,средняя школа,11.0,"Русский, Биология, Химия",80-90,Первая половина 10го класса,Первая половина 10го класса,По всем 3
189,18.01.2026 22:46:57,Средняя школа №1 г. Поставы ,11.0,"Беларусский, Биология, Химия",90+,Вторая половина 10го класса,Первая половина 11го класса,"Химия, биология "
190,18.01.2026 22:48:41,Лицей БГУ,11.0,"Русский, Биология, Химия",90+,Первая половина 11го класса,Первая половина 11го класса,русский
191,18.01.2026 22:53:45,Медицинский университет ,11.0,"Биология, Химия",70-80,Первая половина 10го класса,Вторая половина 10го класса,"Химия, биология"
192,18.01.2026 22:55:26,гргму,11.0,"Русский, Биология, Химия",80-90,Первая половина 10го класса,Первая половина 10го класса,все
193,18.01.2026 22:59:32,Гимназия ,11.0,"Русский, Биология, Химия",70-80,Первая половина 10го класса,Первая половина 10го класса,Всем
194,18.01.2026 23:02:01,Брестский областной лицей П.М. Машерова,11.0,"Беларусский, Биология, Химия",80-90,Вторая половина 10го класса,Первая половина 10го класса,"Биология, химия"
195,18.01.2026 23:02:51,В университете ,11.0,"Математика, Беларусский, Химия",80-90,Вторая половина 10го класса,Первая половина 11го класса,"математика,химия"
196,18.01.2026 23:14:21,11 школа,11.0,"Биология, Химия",70-80,Вторая половина 10го класса,Вторая половина 10го класса,"химия,  био"
197,18.01.2026 23:36:35,Школа,11.0,"Русский, Биология, Химия",90+,Первая половина 10го класса,Первая половина 10го класса,
198,19.01.2026 0:02:19,Гргму- университет,11.0,"Русский, Биология, Химия",90+,Я считаю что сдам своими силами,Вторая половина 11го класса,Русский
199,19.01.2026 0:16:36,Березинская гимназия ,11.0,"Русский, Биология, Химия",90+,Первая половина 10го класса,Первая половина 10го класса,Химия и биология
200,19.01.2026 7:58:10,СШ №8 г. Лиды имени В.Ф.Казакова,11.0,"Биология, Химия",90+,Первая половина 10го класса,Первая половина 10го класса,"Русский , биология , химия "
201,19.01.2026 14:35:10,34 школа ,11.0,"Русский, Биология, Химия",До 70,Я считаю что сдам своими силами,Думаю записаться на интенсив перед экзами (у многих курсов есть возможность записаться в конце типа взять только весну или только май или вообще только пару недель до экзов),
202,19.01.2026 18:45:17,29 гимназия г.минск,11.0,"Русский, Иностранный язык, Обществоведение",90+,Первая половина 10го класса,Первая половина 10го класса,"русский и английский язык, обществоведение "
203,19.01.2026 22:05:31,школа,11.0,"Русский, Биология, Химия",80-90,Первая половина 10го класса,Первая половина 10го класса,по всем
204,19.01.2026 22:05:45,СШ 72 г. Минска ,11.0,"Математика, Физика, Беларусский",70-80,Вторая половина 10го класса,Первая половина 11го класса,Физика
205,19.01.2026 22:06:37,Лицей Белорусско-Российского университета,11.0,"Русский, Биология, Химия",80-90,Вторая половина 10го класса,Первая половина 11го класса,химия
206,19.01.2026 22:09:41,БГУ РФиКТ,11.0,"Математика, Физика, Русский",80-90,Вторая половина 10го класса,Первая половина 11го класса,Физика 
207,19.01.2026 22:10:14,Гимназия 6,11.0,"Математика, Физика, Русский",70-80,Я считаю что сдам своими силами,,
208,19.01.2026 22:22:10,Мозырский государственный областной лицей ,11.0,"Русский, Биология, Химия",90+,Я считаю что сдам своими силами,,
209,19.01.2026 22:28:38,"Гимназия 1, г. Жлобин",11.0,"Математика, Физика",70-80,Я считаю что сдам своими силами,,
